R28045	P15259	R27853
R27815	P27	L56075
R31935	P15482	L64817
R63909	P33142	L192659
R70664	HAS_VENUE	R70666
R69573	P34079	L240595
R63450	P33135	L187480
R44501	P32	R44421
R29520	P15343	R29515
R56578	P30004	L116400
R49190	TemplateComponentOrder	L90293
R57826	P27	L126854
R60996	P33135	L158032
R56100	P27	L112422
R8624	P27	R55310
R64646	P33151	L201512
R64616	P33141	L201142
R6569	P2006	R6557
R26727	P27	L53111
R58326	P33047	L130635
R66017	P33142	L217934
R67273	P33144	L233008
R63601	P33135	L189292
R60563	P33135	L152836
R54674	P29012	L106410
R54015	P32	R54013
R52114	P28	L95924
R54678	P32119	L106443
R61826	P33131	L167988
R61464	P33138	L163651
R41466	compareContribution	R41003
R51124	HAS_VENUE	R50605
R9319	P7167	R9299
R31871	P15472	L64550
R9225	P26010	R9262
R34206	P15238	L71825
R63980	P33145	L193514
R65573	P33144	L212608
R65063	P2005	R63783
R61103	P33133	L159314
R57274	P15068	L122886
R34251	compareContribution	R34243
R53252	P31	R53253
R66001	P33150	L217750
R56428	P30	R50
R29638	P15340	L59899
R60703	P33132	L154513
R57562	HAS_METHOD	R50356
R38416	P27	L76438
R67380	P33142	L234290
R34637	P15673	L73000
R57588	HAS_VENUE	R1012
R58908	P33047	L136455
R31416	P27	L62947
R54503	P30004	L104731
R63148	P33134	L183855
R28000	P30	R11
R61436	P33132	L163309
R58668	P2005	R58159
R60990	P33134	L157959
R55194	HAS_RESULTS	R55197
R57115	P27030	R49273
R58353	P33045	L130903
R65454	P33151	L211187
R54705	P32	R54245
R63072	P33132	L182941
R64705	P33146	L202215
R30449	P15341	R29372
R64487	P33149	L199602
R61020	P33140	L158325
R55035	P29012	L109227
R66548	P33146	L224310
R29431	P27	L59734
R27322	P29	L54559
R31098	P15394	R31096
R65944	P33142	L217058
R27542	P15243	L55379
R67061	P33145	L230465
R29334	P30	R11
R57388	P27030	R49278
R26157	P15142	R26148
R32579	P15520	L66470
R60844	P33132	L156205
R57646	HAS_VENUE	R1012
R60208	P33134	L148575
R62444	P33134	L175407
R67065	P33147	L230515
R63113	P33133	L183434
R54143	P15068	L101289
R60156	P2005	R60076
R38456	P27	L76442
R59831	P4008	R59848
R34631	P29	L72946
R65765	P33145	L214913
R60814	P33136	L155849
R38954	P4017	R38919
R51083	HAS_METHOD	R50739
R46169	P25009	L86581
R58559	P33045	L132963
R63322	P33134	L185943
R48147	P18051	R48153
R52143	compareContribution	R52111
R53252	P27	L98110
R26032	P15116	L51007
R32589	P30	R11
R61947	P33131	L169440
R65204	P33148	L208184
R66515	P33146	L223914
R66115	P33148	L219116
R55020	P31024	L109097
R59029	P33044	L137662
R12213	P27	R12214
R58562	P33042	L132990
R31653	P29	L63259
R66559	P33143	L224439
R51489	P4008	R51498
R63752	P33131	L191100
R61437	P33130	L163319
R69471	P27	L240091
R29976	P27	L60133
R27260	P15191	L54380
R66852	P33142	L227954
R38974	METHOD	R38918
R58438	P2005	R58159
R54194	P27	L101778
R66275	P33141	L221029
R67601	P33143	L236943
R33476	P29	L69806
R56671	P31023	L117280
R57386	P31024	L123934
R64628	P33149	L201294
R68223	P31	R68224
R62976	P33132	L181789
R64606	P33143	L201024
R61740	P33138	L166963
R50789	P31	R50790
R61385	P33139	L162704
R26767	P15170	R26732
R59596	P33049	L143337
R25102	P15008	L46250
R64735	P2005	R63783
R65085	P33148	L206756
R65308	P33148	L209432
R66661	P33150	L225670
R58793	P33050	L135308
R62600	P33137	L177282
R60674	P33130	L154163
R30626	P15370	R30580
R61298	P33138	L161659
R62449	P33129	L175462
R66000	P33152	L217740
R66479	P33152	L223488
R52354	HAS_VENUE	R51422
R66715	P33149	L226317
R68744	P28	L238962
R59626	P2005	R58159
R29582	P15340	L59852
R65044	P33145	L206261
R56161	P31005	L112913
R60714	P33134	L154647
R31857	P31	R31947
R62821	P33135	L179932
R61095	P33138	L159223
R27819	P28	L56081
R68715	HAS_RESULTS	R50438
R27833	P27	L56102
R6438	P32	R6404
R64068	P33141	L194566
R59286	P33050	L140238
R38510	P18077	L239431
R27021	P28	L53799
R66945	P33146	L229074
R62012	P33138	L170227
R54760	P30002	L107265
R57598	P28	L124383
R43049	TemplateComponentOccurrenceMin	L81665
R31605	P15422	R31446
R61862	P33129	L168418
R9273	P26020	L8986
R62381	P33129	L174646
R34170	P15634	L71719
R57125	P31024	L121480
R66366	P33145	L222125
R63160	P33138	L184003
R27011	P27	L53773
R29115	P15313	L59060
R8240	P30	R375
R27041	P30	R11
R62573	P33131	L176952
R4398	P4017	R4400
R29120	P32	R29113
R60305	P33130	L149735
R31855	P32	R31811
R56126	P31	R56127
R62892	P33134	L180783
R56896	P30001	L119334
R44096	P23015	L82134
R58277	P33048	L130146
R61937	P33140	L169329
R61310	P33131	L161796
R63602	P33131	L189300
R62343	P33130	L174191
R6509	P5033	R6492
R41499	P20150	R41501
R67256	P33149	L232809
R66586	P33149	L224769
R8707	P26	L8707
R65819	P33143	L215559
R62193	P33130	L172391
R56870	P27030	L119093
R59900	P33076	L145915
R68655	P27	L238785
R25255	compareContribution	R25236
R28373	P15051	R28151
R62596	P33132	L177229
R54712	P31005	L106795
R66926	P33141	L228841
R58186	P33050	L129238
R67147	P33148	L231500
R66465	P33152	L223320
R66542	P33151	L224243
R61889	P33137	L168750
R30604	P27	L61198
R66459	P33145	L223241
R63825	P33144	L191653
R57056	P27030	R49276
R26538	P31	R26539
R26784	P30	R11
R28421	P29	L57214
R65405	P2005	R63783
R62037	P33137	L170526
R6571	P26	L4992
R54745	P32	R54245
R65388	P33146	L210390
R64087	P33141	L194794
R27647	P15245	L55684
R63692	P33131	L190380
R61654	P33139	L165932
R56771	P15068	L118197
R65985	P33142	L217550
R42003	P27	R42009
R62809	P33129	L179782
R64200	P33143	L196152
R56983	P31023	L120123
R66904	P33148	L228584
R52242	TemplateComponentOrder	L96374
R30176	P15343	R29713
R58787	P33043	L135241
R60383	P33140	L150681
R64135	P33151	L195380
R34132	P29	L71529
R54053	P31023	L100413
R54068	HAS_VENUE	R1012
R70657	HAS_VALUE	L242953
R59443	P33045	L141803
R58330	P33045	L130673
R46660	P27	L87947
R65375	P33152	L210240
R64338	P33146	L197811
R69647	P34078	L240787
R63922	P33149	L192822
R56210	P9040	L113323
R64058	P33152	L194457
R59368	P33046	L141054
R64833	P33151	L203735
R4354	P1005	R4358
R33948	P15610	R33860
R25234	P15025	L46740
R58943	P33049	L136807
R31704	P15433	L63610
R27439	P30	R11
R56798	P33009	L118435
R57983	P33036	L128616
R63903	P33142	L192587
R26695	P15168	R26612
R6110	P5003	R6108
R29157	P15067	R29111
R59647	P33050	L143848
R32931	P15578	L68682
R69566	P34078	L240580
R64116	P33152	L195153
R58950	P33043	L136871
R65076	P33152	L206652
R62921	P33131	L181128
R63960	P33148	L193277
R23260	P27	L44875
R33069	P32	R32961
R31868	P32	R31811
R26653	P15159	R26630
R30333	P15341	R29424
R26944	P15176	R26942
R26324	P28	L52119
R60035	P33104	L146993
R33645	P27	L70078
R56198	P33010	L113232
R23353	P27	L45301
R63927	P2005	R63783
R33396	P15592	R33394
R64765	P33149	L202938
R8223	P32	R8224
R46283	P31	R46290
R63317	P33139	L185888
R63320	P33138	L185923
R54772	HAS_VENUE	R1012
R56520	P27	L115863
R62530	P33130	L176435
R32904	P15542	L68255
R9563	HAS_ORCID	L9323
R25699	P5027	L48702
R65895	P33143	L216471
R65069	P33142	L206558
R32620	P15524	R32545
R30817	compareContribution	R30756
R46521	P25063	L87287
R54080	P27	L100672
R52119	P29012	L95958
R26712	METHOD	R26609
R62942	P33131	L181380
R64427	P2005	R63783
R63102	P2005	R60165
R62735	P33130	L178895
R27476	P15234	R12272
R52143	compareContribution	R52101
R41122	P31	R41123
R58525	P33043	L132621
R62722	P33131	L178740
R59320	P33045	L140573
R65018	P33151	L205955
R25811	P15089	L49445
R68618	P27	L238727
R59285	P33043	L140221
R62775	P33140	L179385
R56317	P27	L114215
R60509	P33133	L152186
R46670	P28	L87998
R65695	P2005	R63783
R57218	P9040	L122345
R6944	P32	R6945
R57889	P27	L127568
R69165	TemplateComponentOccurrenceMin	L239309
R34653	P15674	L73160
R54472	P31	R54473
R30140	P15343	R29776
R26486	P27	L52601
R66776	P33151	L227051
R62988	P33137	L181938
R64931	P33151	L204911
R66395	P33150	L222478
R63837	P33149	L191802
R28578	P15288	L57785
R60232	P2005	R60165
R62171	P33134	L172131
R66256	P33141	L220801
R44429	P31	R44504
R60250	P33140	L149085
R58365	P33042	L131020
R65562	P33141	L212473
R68397	HAS_RESULTS	R68292
R57953	P30002	L128294
R57381	P33006	L123890
R66252	P33147	L220759
R63360	P33135	L186400
R63729	P33140	L190833
R50228	contains	R50219
R30152	P32	R29367
R60021	P33109	L146830
R56600	P15068	L116607
R65925	P33148	L216836
R60996	P33132	L158029
R59516	P33044	L142532
R63543	P33140	L188601
R69955	P29007	R51223
R67333	P33145	L233729
R60720	P33134	L154719
R60542	P33138	L152587
R61784	P33139	L167492
R64919	P33143	L204759
R58881	P33049	L136187
R53192	P30004	L97537
R62292	P33136	L173585
R66623	P33145	L225209
R57875	P31005	L127414
R64701	P33146	L202167
R41564	P18071	R41570
R57192	P15068	L122103
R32874	P32	R32872
R60380	P33140	L150645
R58532	P33049	L132697
R56279	P31	R56280
R54653	P32	R54245
R57876	P9040	L127418
R56784	P30001	L118313
R36080	P5009	L74263
R25265	P15040	R25262
R69336	HAS_METHOD	R51134
R63457	P33129	L187558
R8149	P7021	L8107
R66361	P33143	L222063
R38533	P27	R38839
R54071	P32002	L100584
R66036	P2005	R63783
R61161	P33140	L160017
R58599	P33045	L133363
R25394	P27	L47465
R41367	P20077	R41368
R60233	P33131	L148872
R27709	P15239	R27577
R54754	P30004	L107212
R63144	P33138	L183811
R62682	P33136	L178265
R58248	P2005	R58159
R67585	P33142	L236750
R62180	P33133	L172238
R30559	P15364	L61008
R65572	P33145	L212597
R69631	P34078	L240745
R63253	P33137	L185118
R65362	P33142	L210074
R29724	P15343	R29713
R59770	P5103	L144747
R54458	P32	R54245
R25143	P15015	L46435
R61836	P33130	L168107
R70615	P23156	L242855
R33703	P28	L70391
R62237	P33139	L172928
R64800	P33146	L203355
R65733	P33145	L214529
R60512	P33138	L152227
R54606	P32118	L105722
R50163	hasContent	L92243
R63325	P33133	L185978
R54061	P32	R54013
R30140	P15345	R29391
R64504	P33152	L199809
R31450	P15422	R31447
R69600	P34084	R69535
R61173	P33130	L160151
R6434	P32	R6404
R30730	P26	L239895
R62032	P33137	L170466
R63755	P33137	L191142
R44720	P23155	L83629
R27677	P15247	L55785
R6641	P29	L5071
R65849	P33141	L215917
R12252	P27	L12360
R44857	P23140	R44858
R58975	P33049	L137127
R61577	P33136	L165005
R62891	P33138	L180775
R57672	P31023	L125165
R28230	P15268	R26147
R61838	P33130	L168131
R58902	P33050	L136398
R26790	P32	R26777
R32621	P27	L66633
R62632	P33130	L177659
R31385	P30	R11
R65736	P33151	L214571
R70567	P34117	L242551
R70358	P27	L242005
R27660	P15246	L55727
R66008	P33151	L217835
R56392	P31	R56393
R66424	P33146	L222822
R58721	P2005	R58159
R39002	P18093	L76864
R51428	P28	L94605
R28041	P30	R11
R57844	P33039	L127060
R64799	P33144	L203341
R52083	P31	R52084
R69035	P30	R69
R54366	P31	R54367
R66028	P33152	L218076
R27030	P11	R27000
R59512	P33044	L142492
R63535	P33132	L188497
R48451	TemplateComponent	R48455
R45116	P27	L85199
R64557	P33142	L200435
R66424	P33145	L222821
R60334	P33135	L150088
R68434	P34016	R68328
R43025	P22008	L81420
R59147	P2005	R58159
R66230	P33150	L220498
R58788	P33042	L135250
R44972	P27	L84371
R60023	P33110	L146855
R34766	P15695	R34764
R66196	P33151	L220091
R5192	P27	L99131
R70045	P18068	R51247
R60203	P33140	L148521
R30391	P15343	R29517
R65253	P33146	L208770
R67738	P15370	L241445
R59946	P33095	L146228
R61932	P2005	R60165
R63723	P33139	L190760
R62028	P33139	L170420
R26334	P33	R26267
R28170	P15266	R28146
R69483	P26	L240134
R60598	P33134	L153255
R59252	P2005	R58159
R68312	P27	L238550
R63546	P33132	L188629
R64002	P33145	L193778
R26346	P26	L240418
R66331	P33142	L221702
R57672	P33038	L125172
R5057	P31	R5064
R26232	P33	R26230
R43019	P22014	L81198
R62077	P33130	L170999
R59192	P33050	L139298
R65306	P33142	L209402
R66914	P33150	L228706
R57620	P27	L124600
R32174	P15500	L65721
R69146	P34041	R69152
R58002	compareContribution	R57613
R9556	P7226	L9301
R32106	P15500	L65525
R67431	P33151	L234911
R63087	P33131	L183120
R57180	P30004	L122002
R59571	P33043	L143081
R27011	P27	L53772
R64477	P33143	L199476
R57303	P27	L123151
R25687	P5029	L48647
R67162	P2005	R63783
R29822	P15344	R29820
R26538	P27	L52737
R61719	P2005	R60165
R62404	P33137	L174930
R29564	P28	L59828
R70351	PROCESS	R52257
R68724	P27	L238907
R36070	P5009	L74169
R65156	P33146	L207606
R59316	P33043	L140531
R26109	P31	R26110
R26706	P15173	R26699
R55108	HAS_VENUE	R38844
R65077	P33152	L206664
R61525	P33137	L164382
R62051	P33137	L170694
R64764	P33144	L202921
R66140	P33145	L219413
R64495	P33143	L199692
R60739	P33131	L154944
R66836	P33144	L227764
R65618	P33151	L213155
R61956	P33133	L169550
R62118	P33131	L171492
R64070	P33148	L194597
R61936	P33133	L169310
R27876	P27	L56148
R58506	P33047	L132435
R57840	P27	L127017
R49107	P32	R48245
R64441	P33143	L199044
R57822	P30001	L126806
R28603	P15287	L58029
R57757	HAS_VENUE	R1012
R65890	P33142	L216410
R62505	P33132	L176137
R66024	P33145	L218021
R62750	P33130	L179075
R9319	P5064	L9017
R64735	P33141	L202570
R59049	P33042	L137860
R60242	P33140	L148989
R29202	P15327	L59285
R62641	P33136	L177773
R59068	P33049	L138057
R65198	P33149	L208113
R58974	P33042	L137110
R32535	P26	L240314
R31745	P27	L64048
R60226	P33137	L148794
R61967	P33137	L169686
R60667	P33137	L154086
R58579	P33050	L133168
R65335	P33142	L209750
R67050	P33142	L230330
R38930	P5049	R38929
R70534	P34021	L242348
R62825	P33134	L179979
R44498	P23124	L82807
R27286	P15208	L54469
R63849	P33141	L191938
R59225	P33045	L139623
R64693	P2005	R63783
R54444	P27030	L104164
R60682	P33129	L154258
R64290	P33141	L197230
R69343	HAS_METHOD	R51068
R63199	P33135	L184468
R30454	P15239	R29521
R46519	P32	R46491
R58549	P33045	L132863
R6300	P28	L4374
R59477	P33050	L142148
R30842	P15387	R30841
R69327	P27	L239741
R63847	P33145	L191918
R31702	P15453	L63570
R70021	P31	R70040
R62572	P33137	L176946
R4288	P3	R10
R46655	P25061	L87921
R66415	P2005	R63783
R28966	P15308	L58534
R66124	P33142	L219218
R30525	P27	L60886
R58917	P33041	L136539
R54561	HAS_VENUE	R1012
R28209	P31	R28210
R60740	P33131	L154956
R26754	P28	L53176
R62839	P33129	L180142
R5006	P4016	R5014
R62211	P33137	L172614
R56742	P27	L117927
R54829	P31005	L107946
R63099	P33136	L183269
R54664	P32	R54245
R64351	P33141	L197962
R27576	P15238	L55476
R53372	P30	R50
R61809	P33133	L167786
R66978	P33144	L229468
R60001	P5103	L146790
R58529	P33044	L132662
R56550	P31024	L116133
R55292	P7004	L110891
R68223	P28	L238411
R25995	P26	L50678
R26145	P15137	L51805
R33987	P31	R34029
R34564	P27	L72729
R68302	HAS_RESULTS	R68301
R46236	P25010	L86853
R63263	P33132	L185233
R63129	P33132	L183625
R38484	compareContribution	R23384
R29079	P32	R28968
R28167	P15267	R28152
R57501	compareContribution	R57306
R62412	P33131	L175020
R36112	P9044	L74421
R31598	P15421	R31478
R39039	P32	R39009
R63497	P33137	L188046
R62990	P33136	L181961
R56554	P33011	L116165
R55215	HAS_RESULTS	R55218
R11000	P30	R234
R55011	P28	L109014
R67178	P2005	R63783
R31781	P31	R31784
R76	P36	R77
R49345	TemplateComponentOccurrenceMin	L90530
R25643	P27	L48463
R57224	P33014	L122406
R56360	P31005	L114565
R67507	P33146	L235818
R50268	hasContent	L92338
R66613	P33143	L225087
R53015	P31	R53016
R46617	P31	R46618
R33724	P15605	L70497
R28070	P27	L56523
R70031	P18069	R51397
R64067	P33146	L194559
R57106	P30002	L121306
R70600	P23156	L242779
R29404	P29	L59702
R65428	P33147	L210871
R56179	P9040	L113056
R64636	P33144	L201385
R53130	P27	L110600
R63064	P33133	L182846
R30039	P15344	R29391
R31792	P15465	L64272
R33587	P28	L69896
R60042	P2005	R59993
R28402	P15268	R26169
R6691	P2006	R6552
R61707	P33130	L166559
R59094	P33048	L138316
R66559	P33144	L224440
R23275	P7114	L44988
R30180	P15341	R29372
R70655	P30005	R70335
R25576	P15061	L48267
R65417	P33148	L210740
R30443	P27	L60555
R25836	P31	R25837
R28407	compareContribution	R28384
R65645	P33142	L213470
R64503	P33143	L199788
R63960	P33147	L193276
R32437	P27	L66029
R63873	P33146	L192231
R39049	P4017	R38918
R60855	P33133	L156338
R30373	P26	L60455
R25427	P3003	R25425
R61297	P33138	L161647
R51094	P30	R69
R58428	P33046	L131654
R25384	P28	L47446
R28178	P15267	R26149
R59254	P33045	L139913
R55086	P15068	L109703
R64890	P33143	L204411
R58560	P33043	L132971
R60187	P4006	R60188
R65936	P33141	L216961
R46499	P25064	L87176
R63948	P33143	L193128
R58144	HAS_VENUE	R50701
R65865	P33145	L216113
R44860	P15699	L84017
R58383	P33050	L131208
R62765	P33138	L179263
R52020	P30002	L95158
R27960	P31	R27961
R68519	P32	R68532
R69179	P34052	R69185
R65644	P33146	L213462
R59449	P33041	L141859
R54659	P27	L106262
R67351	P33147	L233947
R57869	P31005	L127345
R30777	P15072	L61845
R54411	P32117	L103843
R63718	P33135	L190696
R62925	P33139	L181184
R57796	P31024	L126527
R59884	P33087	L145686
R65444	P33141	L211057
R38930	METHOD	R38918
R65392	P33146	L210438
R5259	P3	R10
R26075	P26	L51364
R11026	P28	L11049
R36069	P5009	L74158
R54573	P32118	L105403
R61185	P33140	L160305
R31727	P31	R31739
R54383	P27030	L103572
R57501	compareContribution	R57239
R54822	P29	L107877
R63221	P33138	L184735
R26453	P27	L52519
R66038	P33149	L218193
R69172	TemplateComponentOccurrenceMin	L239323
R46613	P27	R70404
R59740	P2005	R59701
R61131	P33139	L159656
R34586	P32	R34497
R57602	P30	R50
R63545	P33139	L188624
R54275	P32	R54245
R26654	compareContribution	R26644
R34661	P15672	L73247
R55035	P30004	L109235
R39068	P5049	R39067
R25335	P15035	L47288
R52044	P30001	L95352
R58424	P33047	L131615
R56957	P30	R50
R29252	P30	R11
R63836	P2005	R63783
R60115	P33117	L147607
R28248	P15051	R28151
R60157	P33115	L148235
R60380	P33133	L150638
R34835	P26	L73798
R44954	P23161	L84240
R61114	P33135	L159448
R56467	P15068	L115440
R48372	HAS_VALUE	L89675
R30585	P15373	L61098
R61482	P33131	L163860
R66149	P33143	L219519
R59945	P33098	L146219
R9382	P4053	R38718
R54839	P27	L108041
R66098	P33149	L218913
R70742	P29	L243030
R28898	P26	L58443
R67360	P33141	L234049
R66352	P33152	L221964
R62954	P33129	L181522
R32871	compareContribution	R32563
R60720	P33130	L154715
R66601	P33147	L224947
R60989	P33134	L157947
R54483	P31023	L104538
R54236	P31	R54237
R58571	P33050	L133088
R54314	P27	L102909
R23499	P27	L45900
R62679	P33133	L178226
R62505	P33140	L176145
R6457	P31	R25717
R34178	P15632	L71762
R31720	P15446	L63828
R50090	P27	L92159
R61610	P33137	L165402
R53264	P30002	L98189
R66814	P33152	L227508
R65177	P33143	L207855
R58495	P33046	L132324
R60668	P33137	L154098
R59172	P2005	R58159
R57362	P31005	L123703
R58967	P33050	L137048
R67330	P33150	L233698
R44519	P23121	L83050
R66386	P33145	L222365
R58907	P33043	L136441
R30914	compareContribution	R30886
R60217	P33135	L148684
R62937	P33129	L181318
R60584	P33129	L153082
R44538	P27	L83186
R25887	P15086	L50039
R43014	P22018	L81145
R66219	P33149	L220365
R63871	P33144	L192205
R50319	P27	L92394
R60220	P33140	L148725
R54016	P31	R54017
R57758	P9040	L126121
R52140	P27	L96133
R53394	P29012	L99008
R66813	P33145	L227489
R70716	P30019	R70717
R28555	P15287	L57570
R58888	P33044	L136252
R60611	P33137	L153414
R65345	P33142	L209870
R66527	P33147	L224059
R12175	P32	R12024
R27094	P27	L53955
R30800	P31	R31053
R56948	P30002	L119790
R62729	P2005	R60165
R33068	P15590	L69424
R6336	P34	R6337
R31942	P32	R31811
R29337	P15238	R29315
R57696	P33037	L125448
R66010	P33149	L217857
R28223	P15051	R28147
R58987	P33042	L137240
R25751	P32	R25727
R9284	P26	L8992
R62028	P33132	L170413
R57834	P31005	L126948
R60473	P33138	L151759
R43021	P22038	L81289
R57618	P27	L124578
R61275	P33130	L161375
R63549	P2005	R60165
R25103	P27	L46254
R63766	P33140	L191277
R64861	P33146	L204066
R59375	P2005	R58159
R66543	P2005	R63783
R61522	P33135	L164344
R65555	P33146	L212394
R65235	P33145	L208553
R67582	P33151	L236723
R65441	P33143	L211023
R27694	P29	L55833
R60670	P33139	L154124
R25265	P15043	L46946
R70574	P15051	L242613
R25894	P27	L50079
R30925	P32	R30740
R30950	compareContribution	R30946
R70164	P27	L241845
R64117	P33151	L195164
R68121	compareContribution	R68110
R63361	P2005	R60165
R65490	P33151	L211619
R64614	P33149	L201126
R63510	P2005	R60165
R68312	P31	R68467
R65340	P33147	L209815
R4918	P27	L403
R33571	P27	L69856
R64289	P33146	L197223
R66479	P33146	L223482
R25150	P4012	R25148
R59614	P33050	L143518
R62541	P33139	L176576
R25977	P30	R11
R27215	P30	R11
R38864	P7055	L87012
R62962	P33137	L181626
R61118	P33135	L159496
R6463	P5028	L4774
R66927	P33151	L228863
R62305	P33137	L173742
R61821	P33138	L167935
R63671	P2005	R60165
R57764	P30004	L126191
R32921	P15564	L68514
R53407	compareContribution	R53272
R25748	P29	L49010
R65622	P33149	L213201
R57687	P33038	L125340
R64271	P33148	L197009
R8151	P7020	L8107
R66833	P33143	L227727
R65944	P33150	L217066
R61908	P33134	L168975
R30071	P15239	R29517
R6395	P31	R6396
R65496	P33143	L211683
R63206	P2005	R60165
R62557	P33133	L176762
R63961	P33149	L193290
R61535	P33129	L164494
R63851	P33148	L191969
R64790	P33152	L203241
R62810	P33137	L179802
R66718	P33152	L226356
R67118	P33148	L231152
R61508	P33133	L164174
R62389	P33132	L174745
R61490	P33133	L163958
R64850	P33149	L203937
R56183	P15068	L113099
R57039	P30002	L120683
R58722	P33048	L134596
R33032	P15589	L69207
R65845	P33144	L215872
R64447	P33147	L199120
R58659	P33045	L133963
R28270	P29	L56951
R5230	P4018	R5255
R64591	P33141	L200842
R27424	P15229	L55025
R31094	P15392	R31013
R59059	P33043	L137961
R31804	P27	L64309
R58687	P33044	L134242
R63449	P33129	L187462
R59676	P33048	L144136
R28957	P15305	R28955
R53198	P27	L97589
R60887	P33129	L156718
R63300	P33139	L185684
R64574	P33150	L200647
R68465	P34014	R67807
R54171	P9040	L101551
R54117	P27030	L101029
R68538	compareContribution	R68494
R54589	P30004	L105565
R29203	P31	R29204
R61382	P33129	L162658
R30920	P15386	L62172
R69294	P28	L239798
R64931	P33152	L204912
R62181	P33130	L172247
R65591	P33150	L212830
R57978	P30002	L128565
R26075	P28	L51369
R28559	reference	L57601
R67499	P33148	L235724
R61820	P2005	R60165
R25818	P28	L49532
R64973	P33151	L205415
R59668	P33049	L144057
R28978	P15311	L58586
R60322	P33134	L149943
R33637	P29	L70039
R63194	P33134	L184407
R31997	P15471	L65172
R54840	P30002	L108054
R44194	P23043	R44195
R60052	P2005	R59993
R65779	P33141	L215077
R64109	P33146	L195063
R25180	P27	L46531
R65035	P33142	L206150
R34409	P27	L72411
R27089	compareContribution	R27085
R66619	P33146	L225162
R31725	compareContribution	R31694
R57598	P27	L124382
R29677	P15341	R29362
R44693	P27	L83486
R31675	P32	R25028
R58840	P33042	L135770
R23260	P31	R23261
R60561	P33139	L152816
R34142	P15632	L71572
R56723	P30004	L117758
R59140	P2005	R58159
R44520	P23120	L83066
R6831	P5076	L5399
R38853	P23007	R44055
R49055	P26006	L90097
R63568	P33136	L188897
R44918	P28	L84121
R57972	P31023	L128499
R52155	TemplateComponentOccurrenceMax	L96179
R54069	P32001	L100568
R58504	P33049	L132417
R61666	P33133	L166070
R54370	P30	R50
R6668	P5043	R6545
R30506	P31	R30507
R28144	P27	L56728
R61895	P33129	L168814
R59982	P33093	L146658
R59169	P2005	R58159
R38424	P27	R58156
R61654	P33129	L165922
R65956	P33146	L217206
R66645	P33141	L225469
R60807	P33129	L155758
R52237	TemplateComponent	R52292
R33032	P15588	L69211
R64231	P33151	L196532
R63554	P2005	R60165
R69999	HAS_VENUE	R51232
R57114	P27030	R49273
R58740	P33050	L134778
R64021	P33142	L194003
R31574	P15422	R31571
R65928	P33142	L216866
R28612	P30	R11
R61324	P33136	L161969
R59387	P33045	L141243
R64291	P33148	L197249
R60467	P33132	L151681
R26181	P31	R26182
R30629	P29	L61319
R57015	P31024	L120461
R67202	P33141	L232153
R61179	P33132	L160225
R55037	P32	R54953
R61061	P2005	R60165
R58407	P33042	L131440
R34594	P15666	L73847
R61449	P33134	L163467
R62672	P33139	L178148
R60191	P33134	L148371
R32912	P15543	L68369
R65360	P33144	L210052
R27705	compareContribution	R27655
R64750	P33148	L202757
R56804	P30001	L118495
R50607	HAS_METHOD	R50356
R60745	P33131	L155016
R59824	P33069	L145263
R68893	HAS_METRIC	R68898
R29622	P15343	R29618
R67525	P33143	L236031
R54649	P29	L106164
R67826	HAS_METHOD	R50394
R31766	P29	L64183
R63992	P33142	L193655
R57430	P33002	R57431
R66387	P33144	L222376
R67358	P2005	R63783
R25495	compareContribution	R25462
R67356	P33150	L234010
R62537	P33129	L176518
R26377	compareContribution	R26374
R67594	P33143	L236859
R64316	P33150	L197551
R63182	P33131	L184260
R54273	P32119	L102530
R56969	P31024	L119981
R65245	P33144	L208672
R65443	P33145	L211049
R65904	P33151	L216587
R25566	P15060	L48215
R63951	P33142	L193163
R44668	compareContribution	R9191
R57129	P32	R57102
R4234	P26	L3088
R61455	P33140	L163545
R61526	P33140	L164397
R64466	P33150	L199351
R6150	P31	R6151
R32709	P30	R11
R54194	P27	L101782
R66618	P33146	L225150
R62869	P33140	L180513
R57668	P30001	L125119
R44166	P20050	R44169
R59377	P33048	L141146
R25895	P15090	L50092
R27805	P15256	R27725
R64549	P33145	L200342
R8493	P30	R229
R61574	P33134	L164967
R69155	P34053	R69079
R61320	P33138	L161923
R56788	P33010	L118355
R65173	P33152	L207816
R57732	P33038	L125828
R57851	P32	R57587
R34367	P15645	L72261
R64936	P33145	L204965
R44434	P31	R44435
R62459	P33130	L175583
R30129	P15239	R29555
R61291	P33133	L161570
R63864	P33152	L192129
R57282	P30002	L122965
R60636	P33131	L153708
R70145	P18057	R51226
R66409	P33141	L222637
R66975	P33152	L229440
R8240	P27	R68255
R61341	P2005	R60165
R57296	P28	L123091
R66930	P33149	L228897
R66402	P33147	L222559
R32330	P31	R32331
R27888	P15259	R27854
R32939	P32	R32915
R36059	P27	L74080
R61983	P33135	L169876
R64243	P33148	L196673
R30506	P27	L60815
R32378	P15510	R32371
R52310	compareContribution	R44727
R28495	P15277	R28492
R31755	P31	R31756
R28549	P27	L57514
R34154	P15635	L71637
R57287	P32	R57102
R54809	P30001	L107740
R63218	P33129	L184690
R32792	P32	R32545
R60457	P2005	R60165
R27183	P29	L54113
R65650	P33151	L213539
R61200	P33135	L160480
R63192	P33139	L184388
R63953	P2005	R63783
R62900	P33130	L180875
R58236	P33049	L129737
R62261	P33132	L173209
R57980	P31	R57981
R58701	P33044	L134382
R44255	P18071	R44277
