P1	yields
P26042	Sea ice model basic approximations
P23118	AED evaluated
P23119	2nd AED
P23120	3rd AED
P23121	4th AED
P23122	No of cats
P23123	Period of treatment or follow-up (months)
P23124	Prevalence of adverse effects
P23125	95% CI of cases that developed adverse effects
P23126	Body system affected and adverse effects
P23127	Most common adverse effects
P23128	Adverse effect type
P23129	Age of cats at seizure onset (years)
P23130	Dose of AED(s) (mg/ kg)
P23131	Serum levels of AED(s)
P23132	Pre-treatment SF (seizures/ month or year)
P23133	Post- treatment SF (seizures/ month or year)
P23134	No of cats that were failures
P23135	No of cats with >0% - <50% reduction in SF
P23136	No of cats with ≥50% - <100% reduction in SF
P23137	No of cats with 100% reduction in SF
P23138	95% CI of successfully treated cases
P23140	Basic reproduction number
P26043	Atmospheric Chemistry Basic Approximations
P26044	has prognostic atmospheric chemistry variable
P26047	Has kernel function
P26048	Has cost factor
P26046	Has gamma
P23141	due to
P34059	number of papers
P23142	Confidence interval (95%)
P23145	Confidence interval
P23146	Range of values
P23147	Condition
P23149	Duration
P23143	Estimated cases
P23144	Reported cases
P23148	Data validity condition
P23150	Participants' characteristics (of which viral agents were sequenced)
P25060	Language/domain
P25061	NEs found
P25062	Technique used
P25063	Dataset used
P25064	Evaluation results
P23152	Depressive disorder
P23153	Age mean (SD)
P23154	% Female
P23155	% White
P23156	Setting
P23157	Recruitment
P23158	Most distal followup
P23159	Depression outcomes (sources)
P23160	Quality
P25059	Data used
P25017	Semiconductor
P25018	H2 Rate
P25065	Has subfields
P25066	Gatherable information
P25067	Concept
P23161	Population/Procedure, Sample size
P23162	Intervention Group(s)
P23163	Interventionist
P23164	Study design
P23165	Construct
P23166	Measurement, Rater
P23167	Significant Results
P23168	Nonsignificant Results
P25019	Nb-Based Material
P25020	Main Products
P25021	Observed Rate
P24001	Communication Scheme
P24003	Data I/O Rate
P34119	C Statistic
P24004	Apache Hadoop
P24005	Real-time Processing
P30026	hasMetaVisualization
P24007	Iterative Task Support
P24008	Describes approach
P24009	Has definition
P24011	placed in
P24012	applicable in
P24015	transient absorption:trapped holes
P24016	transient absorption:trapped electrons
P24017	conditions
P24013	has goal
P25025	performs
P25026	yielding
P25027	with the exception
P25001	Weaknesses
P25002	Problems
P25003	Solutions
P25004	Algorithm and Techniques
P25007	precursors
P25008	visible-light driven photocatalysis
P25005	chemical doping method
P25006	doping elements
P25014	Material
P25015	Data
P25016	Process
P25022	Case fatality rate
P25028	out-performed by
P25029	obtain
P25030	When paired with
P25031	performs on par with
P25032	adding
P25033	improves
P25048	sets
P25049	by gaining
P25050	over
P25051	with respect to
P25042	got
P25043	among
P25044	more effective than
P25045	without using
P32122	Measure of propagule pressure
P25052	achieve
P25053	relies on
P25054	achieving
P25055	get
P25056	already outperforms
P25057	demonstrating the advantage of
P25058	achieves slightly better performance than
P28008	Total Cases
P25070	Answer
P25071	Has characteristics
P25072	Attributes
P25073	Retinal Dissease
P25074	Learning approach
subProblem	Sub Problem
P26000	data dource
P26001	total cases worldwide
P33018	Offer functions
P33021	Important aspects to consider
P33016	Data Storage
P33019	Developement
P33020	Recent Developement
P29005	PubChemAID
P29006	has assay footprint
P29007	assay measurement type
P28002	day
P29008	uses detection instrument
P28003	month
P26004	has base line
P26007	has  start of period
P26008	has end of period
P26010	Has prognostic ocean variable
P26011	has ocean result
P26012	Ocean model family
P26013	Ocean vertical physics
P26014	has horizontal ocean model resolution
P26015	Has ocean model documantation
P26033	Has atmosphere model version
P26034	Has ocean model name
P26035	Has horizontal ocean model discretisation
P29000	Translation
P29001	Material
P29002	Data
P29003	Process
P26045	has C parameter
P26049	Estimated_cases_with
P28005	has layer
P28006	responsible for
P27003	Evacuation Strategies
P27004	section
P29013	Has hypothesis
P29014	deleted
P27005	Study category
P27006	Experimental details
P27007	Variables that resulted in significant effects
P27008	Statistics used
P27009	Variables that resulted in non-significant effects
P27010	Effect size
P27013	Has number of votes
P27014	Has participants
P27015	Has buildings
P27016	Has offices
P27017	Length
P27018	Days
P27019	Study type
P27030	Continent
P27032	Observed value
P27020	Type of buildings
P27021	Building systems
P27022	Study location
P27026	Number of offices
P27023	% of female
P27024	Number of participants
P27025	Number of buildings
P27027	HVAC type
P27028	Lighting type
P27029	Region of data collection
P28007	has Wikipedia description
P29004	has capabilities
P27034	Organism
P27033	Growth rate
P28004	deleted
P33051	R59704
P33052	R59706
P33053	R59708
P33054	R59710
P33055	R59712
P33056	R59714
P33057	R59716
P33058	R59718
P33059	R59720
P33060	R59722
P33061	R59724
P33062	R59726
P33114	R60079
P33115	R60081
P33116	R60083
P33067	R59767
P33068	R59769
P33069	R59771
P33070	R59773
P33071	R59775
P33072	R59777
P33073	R59779
P33074	R59781
P33078	R59839
P33079	R59841
P33080	R59843
P33081	R59845
P33082	R59847
P33083	R59849
P33084	R59851
P33085	R59853
P33086	R59855
P33087	R59857
P33088	R59859
P33089	R59861
P33090	R59922
P33091	R59924
P33092	R59926
P33093	R59928
P33094	R59930
P33095	R59932
P33096	R59934
P33097	R59936
P33098	R59938
P33099	R59940
P33100	R59942
P33101	R59944
P33102	R59996
P33103	R59998
P33104	R60000
P33105	R60002
P33106	R60004
P33107	R60006
P33108	R60008
P33109	R60010
P33110	R60012
P33111	R60014
P33112	R60016
P33113	R60018
P33117	R60085
P33118	R60087
P33119	R60089
P33120	R60091
P33121	R60093
P33122	R60095
P33123	R60097
P33124	R60099
P33125	R60101
P33126	R60103
P33127	R60105
P33128	R60107
P33131	R60172
P33132	R60174
P33133	R60176
P33134	R60178
P33135	R60180
P33136	R60182
P33137	R60184
P33138	R60186
P33139	R60188
P33140	R60190
P33143	R63790
P33144	R63792
P33145	R63794
P33146	R63796
P33147	R63798
P33148	R63800
P33149	R63802
P33150	R63804
P33151	R63806
P33152	R63808
P33153	Scaling type
P33154	Data I/O Performance
P34006	paper: authors
P34020	Stakeholders
P34019	Potentially useful techniques
P34003	Knowledge derived from
P34018	Foundation for integration of
P34001	Has trend
P34002	Becoming a requirement for
P34004	Important for
P34005	Reason
P34007	paper: research_field
P34016	tissue consumed by larvae
P34008	Create "has_host"
P34009	Create "has_host"
P34010	Create "has_host"
P34011	Create "has_host"
P34012	Create "has_host"
P34013	Create "has_host"
P34015	larval habit inside or outside of host
P34038	has target
P34021	Infection
P34022	CI Tech
P34037	has toxin
P34039	Gesellschaft zur Zeit der Konzeptentwicklung
P34040	Staatsform zur Zeit der Konzeptentwicklung
P34023	NPV
P34032	has lysine catabolic pathway type
P34033	has lysine catabolic pathway type
P34034	has lysine catabolic pathway type
P34035	has lysine catabolic pathway type
P34036	has lysine catabolic pathway type
P34024	Material
P34025	Data
P34026	Process
P34027	Method
P34028	Material
P34029	Data
P34030	Process
P34031	Method
P34041	Soziale Arbeit als Institution
P34042	gesellschaftliche Funktion Sozialer Arbeit
P34043	Auftraggeber
P34044	Funktion Sozialer Arbeit
P34047	Vergesellschaftungsprozess
P34048	Ressourcen
P34049	Definitionsmacht
P34050	Macht von - Macht über
P34051	Repräsentationsform
P34052	Lebenslage Adressat*innen
P34053	Lebenslage Sozialarbeiter*innen
P34054	angestrebte Macht der Adressat*innen
P34055	Ebene der Verhandlung
P34056	Bewegungshintergrund
P34045	Adressat*innen
P34046	Perspektive/Ziel Sozialer Arbeit
P34062	Concept types
P34063	Dataset name
P34064	number concepts
P34069	Process
P34070	Material
P34071	Data
P34097	Material
P34065	Material
P34066	Data
P34067	Process
P34068	Method
P34072	Method
P34073	Payment Scheme
P34074	Payment Scheme
P34075	Knowledge Graph Type
P34076	Knowledge Graph Semantics
P34077	Knowledge Graph Selection
P34078	Reuse Of Knowledge Graph
P34079	Number Of Knowledge Graphs
P34080	Machine Learning Input
P34081	Machine Learning Method
P34082	Machine Learning Task
P34083	Machine Learning Model Integration
P34084	Explanation Form
P34085	Explanation Type
P34086	Explanation Interpretability
P34111	Performance:Precision
P34112	Performance:Sensitivity
P34096	RUIHUI MU
P34087	do not incorporate
P34088	above it
P34089	constructs and labels
P34090	To capture
P34091	have
P34092	used in
P34093	dimensions
P34094	updating
P34095	gradient clipping
